order_num;order_status;price;order_time;driver_id;TIN;phone_number
549910;TRUE;20.08;02-28-2021 02:53:47;6311291;479644400;292-946-0363
242035;TRUE;14.89;07-25-2021 04:21:47;6311291;479644400;566-499-2899
387376;TRUE;22.68;09-15-2021 03:34:30;6311291;479644400;247-777-6642
537591;TRUE;15.07;07-26-2021 04:58:47 ;7147757;669379639;104-255-3999
251526;TRUE;20.88;07-26-2021 11:18:47 ;4401767;134125419;863-773-7182
156443;TRUE;8;04-29-2021 03:26:38 ;6311291;750750839;930-849-6334
902359;TRUE;11.67;07-26-2021 04:58:47 ;7147757;175189514;964-278-4448
698192;TRUE;13.78;10-18-2021 12:35:11 ;2005219;505339908;886-598-9424
427514;TRUE;4;03-20-2021 12:04:25 ;6311291;750750839;355-710-4593
609707;FALSE;9.37;07-13-2021 06:07:20 ;2005219;479644400;277-129-5583
914508;TRUE;21.48;01-29-2021 09:15:25 ;6311291;479644400;286-133-8358
422234;TRUE;6.54;09-27-2021 12:18:49 ;6311291;479644400;569-100-2113
652603;TRUE;9.85;08-23-2021 11:42:27 ;4401767;505339908;255-429-7245
345629;TRUE;12.23;09-27-2021 12:18:49 ;7147757;175189514;908-406-9874
626747;TRUE;11.09;11-14-2021 04:02:38 ;7147757;212522420;427-897-3898
731058;TRUE;17.04;05-27-2021 12:01:49 ;7147757;564908003;682-310-5392
435967;TRUE;21.24;10-20-2021 09:44:15 ;4401767;564908003;846-806-7578
307812;TRUE;11.74;03-28-2021 11:33:10 ;6466139;212522420;725-823-8297
136644;TRUE;15.14;06-16-2021 02:00:19 ;6466139;216549380;506-887-1560
605832;TRUE;13;11-28-2021 05:23:23 ;6466139;175189514;681-957-6577
167502;TRUE;17.55;02-21-2021 03:21:23 ;6311291;212522420;664-773-4993
416553;TRUE;36.23;03-14-2021 04:39:17 ;6311291;391036532;140-626-3807
916598;TRUE;6.86;09-27-2021 12:18:49 ;6311291;391036532;255-987-5153
678814;TRUE;11.7;02-21-2021 10:26:29 ;6466139;212522420;428-151-6144
151100;TRUE;23.06;09-14-2021 10:50:38 ;4401767;750750839;183-148-8977
202768;FALSE;27.44;05-30-2021 05:25:56 ;4401767;391036532;137-431-2674
511014;TRUE;22.74;11-14-2021 11:08:22 ;4401767;391036532;567-253-2219
541830;TRUE;11.09;09-15-2021 02:56:55 ;6466139;212522420;779-842-5564
578265;TRUE;20.74;12-18-2021 01:28:52 ;7147757;505339908;643-318-8604
